0.0020, 48.5211, 0.0162
0.0004, 48.5222, 0.0160
0.0001, 48.5211, 0.0163
0.0012, 48.5205, 0.0159
0.0016, 48.5200, 0.0168
0.0023, 48.5211, 0.0172
0.0017, 48.5209, 0.0159
0.0003, 48.5224, 0.0158
0.0022, 48.5213, 0.0164
0.0010, 48.5208, 0.0165
0.0037, 48.5201, 0.0165
0.0013, 48.5206, 0.0164
0.0019, 48.5204, 0.0159
0.0017, 48.5218, 0.0169
0.0008, 48.5216, 0.0166
0.0007, 48.5208, 0.0169
0.0015, 48.5208, 0.0166
0.0007, 48.5214, 0.0152
0.0013, 48.5205, 0.0159
0.0040, 48.5222, 0.0163
0.0006, 48.5206, 0.0171
0.0027, 48.5220, 0.0159
0.0018, 48.5209, 0.0163
0.0034, 48.5220, 0.0162
0.0006, 48.5205, 0.0175
0.0025, 48.5213, 0.0156
0.0001, 48.5208, 0.0161
0.0029, 48.5217, 0.0175
0.0017, 48.5199, 0.0186
0.0015, 48.5220, 0.0173
0.0036, 48.5211, 0.0169
0.0008, 48.5209, 0.0168
0.0012, 48.5219, 0.0168
0.0014, 48.5208, 0.0160
0.0002, 48.5214, 0.0166
0.0039, 48.5209, 0.0159
0.0004, 48.5211, 0.0169
0.0073, 48.5213, 0.0167
0.0043, 48.5205, 0.0164
0.0031, 48.5215, 0.0164
0.0018, 48.5204, 0.0161
0.0034, 48.5208, 0.0152
0.0024, 48.5201, 0.0164
0.0014, 48.5218, 0.0169
0.0014, 48.5205, 0.0165
0.0025, 48.5203, 0.0167
0.0061, 48.5208, 0.0171
0.0009, 48.5208, 0.0164
0.0034, 48.5208, 0.0163
0.0005, 48.5212, 0.0163
